date,cl
2019-06-17,4.5
2019-06-18,9.5
2019-06-19,9.4
2019-06-20,8
2019-06-21,7.3
2019-06-22,2.1
2019-06-23,3
2019-06-24,1.6
2019-06-25,1.3
2019-06-26,9.5
2019-06-27,8.3
2019-06-28,8.5
2019-06-29,8.1
2019-06-30,6.9
2019-07-01,4.9
2019-07-02,4
2019-07-03,6.4
2019-07-04,2.4
2019-07-05,3.8
2019-07-06,3.4
2019-07-07,7.5
2019-07-08,6
2019-07-09,4.9
2019-07-10,8.4
2019-07-11,9.9
2019-07-12,6.8
2019-07-13,6.4
2019-07-14,4.5
2019-07-15,7.5
2019-07-16,7.3
2019-07-17,9
2019-07-18,6.4
2019-07-19,4.6
2019-07-20,9.5
2019-07-21,9.4
2019-07-22,7.5
2019-07-23,8.6
2019-07-24,9.6
2019-07-25,9.9
2019-07-26,9.9
2019-07-27,7.6
2019-07-28,9.8
2019-07-29,8
2019-07-30,8.8
2019-07-31,9.8
2019-08-01,7.8
2019-08-02,3.5
2019-08-03,3.6
2019-08-04,5.8
2019-08-05,2.5
2019-08-06,6.8
2019-08-07,8
2019-08-08,6.6
2019-08-09,4.9
2019-08-10,5.1
2019-08-11,6.8
2019-08-12,8.9
2019-08-13,7.4
2019-08-14,4
2019-08-15,9.1
2019-08-16,6.3
2019-08-17,5
2019-08-18,4.5
2019-08-19,4.6
2019-08-20,2.6
2019-08-21,7.6
2019-08-22,6.3
2019-08-23,4.4
2019-08-24,5.5
2019-08-25,3.4
2019-08-26,6.4
2019-08-27,8.1
2019-08-28,5.9
2019-08-29,5.6
2019-08-30,5.3
2019-08-31,2.3
2019-09-01,6.1
2019-09-02,6.1
2019-09-03,8.5
2019-09-04,9.3
2019-09-05,9
2019-09-06,10
2019-09-07,10
2019-09-08,9.3
2019-09-09,9.3
2019-09-10,9.8
2019-09-11,7.9
2019-09-12,9.8
2019-09-13,4.3
2019-09-14,8.8
2019-09-15,5.5
2019-09-16,3.6
2019-09-17,6.4
2019-09-18,1.1
2019-09-19,3.5
2019-09-20,9.4
2019-09-21,9.6
2019-09-22,9.4
2019-09-23,3.1
2019-09-24,0
2019-09-25,5.9
2019-09-26,8.4
2019-09-27,8.6
2019-09-28,3.8
2019-09-29,0.3
2019-09-30,0
2019-10-01,6.8
2019-10-02,9.9
2019-10-03,6.3
2019-10-04,3.6
2019-10-05,7
2019-10-06,6.1
2019-10-07,9.5
2019-10-08,2.6
2019-10-09,1.9
2019-10-10,9
2019-10-11,0.9
2019-10-12,0.6
2019-10-13,2.1
2019-10-14,1.9
2019-10-15,3
2019-10-16,5.3
2019-10-17,4.8
2019-10-18,7.1
2019-10-19,0.8
2019-10-20,0.6
2019-10-21,2.1
2019-10-22,4.4
2019-10-23,8
2019-10-24,4.5
2019-10-25,6.6
2019-10-26,2.3
2019-10-27,0.9
2019-10-28,5.6
2019-10-29,1.6
2019-10-30,0.3
2019-10-31,4.6
2019-11-01,1.9
2019-11-02,8.1
2019-11-03,4
2019-11-04,0
2019-11-05,1.4
2019-11-06,5
2019-11-07,1.6
2019-11-08,0
2019-11-09,0.3
2019-11-10,8.9
2019-11-11,5.9
2019-11-12,3.6
2019-11-13,8.5
2019-11-14,1
2019-11-15,8.1
2019-11-16,5.5
2019-11-17,9.3
2019-11-18,7.1
2019-11-19,1.4
2019-11-20,0
2019-11-21,6.1
2019-11-22,1.4
2019-11-23,6.1
2019-11-24,7.1
2019-11-25,4.4
2019-11-26,3.9
2019-11-27,4
2019-11-28,1.8
2019-11-29,0.9
2019-11-30,6
2019-12-01,9.3
2019-12-02,2.4
2019-12-03,6.3
2019-12-04,1
2019-12-05,0
2019-12-06,0.6
2019-12-07,6.6
2019-12-08,1.1
2019-12-09,7.9
2019-12-10,8.9
2019-12-11,5.9
2019-12-12,0
2019-12-13,6.8
2019-12-14,3
2019-12-15,2.9
2019-12-16,6.1
2019-12-17,8.6
2019-12-18,3.5
2019-12-19,1.8
2019-12-20,1.4
2019-12-21,5.5
2019-12-22,7.8
2019-12-23,6.1
2019-12-24,0.8
2019-12-25,5.9
2019-12-26,5.4
2019-12-27,0
2019-12-28,3.5
2019-12-29,9
2019-12-30,7.5
